study_uid,series_uid,source,dicom_dir,zarr_path,zarr_exists,dicom_exists,dicom_size_bytes
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.30827030879314217305902637111255984309,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.30827030879314217305902637111255984309,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.30827030879314217305902637111255984309.zarr,True,True,13208924
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.33836648034724869721686434744559693623,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.33836648034724869721686434744559693623,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.33836648034724869721686434744559693623.zarr,True,True,13208876
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.93288538765996574291399549037773479273,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.93288538765996574291399549037773479273,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231/1.2.826.0.1.3680043.8.498.93288538765996574291399549037773479273.zarr,True,True,13209180
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10407754553908392233077656347467111543,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10407754553908392233077656347467111543,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10407754553908392233077656347467111543.zarr,True,True,13130560
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10440591424169021316962862657887905795,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10440591424169021316962862657887905795,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10440591424169021316962862657887905795.zarr,True,True,26260536
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10997243274493644695137773062377650204,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10997243274493644695137773062377650204,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.10997243274493644695137773062377650204.zarr,True,True,24619526
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12035938794439579756583835150081778633,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.12035938794439579756583835150081778633,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.12035938794439579756583835150081778633.zarr,True,True,8594898
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12899608222010739549162228949977121036,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.12899608222010739549162228949977121036,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.12899608222010739549162228949977121036.zarr,True,True,24619646
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.18313433830014722992362938871973097711,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.18313433830014722992362938871973097711,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.18313433830014722992362938871973097711.zarr,True,True,23798610
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.74504704425600751221038968098633701528,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.74504704425600751221038968098633701528,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.74504704425600751221038968098633701528.zarr,True,True,21205104
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.76947689399889739752390906772011627242,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.76947689399889739752390906772011627242,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.76947689399889739752390906772011627242.zarr,True,True,9484022
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.81917956022130221494316872143485515885,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.81917956022130221494316872143485515885,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.81917956022130221494316872143485515885.zarr,True,True,9483958
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.95157380062318250808693914483306796699,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.95157380062318250808693914483306796699,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764/1.2.826.0.1.3680043.8.498.95157380062318250808693914483306796699.zarr,True,True,8594840
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.11982164807463634778369544669639739403,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.11982164807463634778369544669639739403,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.11982164807463634778369544669639739403.zarr,True,True,11855592
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.17496901872433262274477070632489305322,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.17496901872433262274477070632489305322,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.17496901872433262274477070632489305322.zarr,True,True,10373282
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.70243599053060014636616038265618938578,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.70243599053060014636616038265618938578,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.70243599053060014636616038265618938578.zarr,True,True,7219362
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.87738065849001552362672384225773846709,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.87738065849001552362672384225773846709,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.87738065849001552362672384225773846709.zarr,True,True,11262624
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.94462014065647174693220681811845777102,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.94462014065647174693220681811845777102,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542/1.2.826.0.1.3680043.8.498.94462014065647174693220681811845777102.zarr,True,True,11855592
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.13316012614172613981502777804567639106,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.13316012614172613981502777804567639106,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.13316012614172613981502777804567639106.zarr,True,True,21556654
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.23891625731161491661628238457017424651,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.23891625731161491661628238457017424651,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.23891625731161491661628238457017424651.zarr,True,True,15773250
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.67294291903707258636363422483846920874,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.67294291903707258636363422483846920874,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.67294291903707258636363422483846920874.zarr,True,True,16824808
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.83614010998801212494242431788612349272,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.83614010998801212494242431788612349272,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.83614010998801212494242431788612349272.zarr,True,True,86044074
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.89117237872314402116920169434632625063,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.89117237872314402116920169434632625063,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.89117237872314402116920169434632625063.zarr,True,True,11566898
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.96277058087102759370159028042426256271,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.96277058087102759370159028042426256271,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339/1.2.826.0.1.3680043.8.498.96277058087102759370159028042426256271.zarr,True,True,67155880
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.11078374186526205724225825735159012398,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.11078374186526205724225825735159012398,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.11078374186526205724225825735159012398.zarr,True,True,11558086
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.42759405933119955877969739566391261556,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.42759405933119955877969739566391261556,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.42759405933119955877969739566391261556.zarr,True,True,18046300
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.69783908410864161211158583420543900194,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.69783908410864161211158583420543900194,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.69783908410864161211158583420543900194.zarr,True,True,19893464
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.92080591929803140221312603969153072299,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.92080591929803140221312603969153072299,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.92080591929803140221312603969153072299.zarr,True,True,11558192
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.94288268297326706009195326058014280624,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.94288268297326706009195326058014280624,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101/1.2.826.0.1.3680043.8.498.94288268297326706009195326058014280624.zarr,True,True,11558086
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015.zarr,True,True,51263356
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.28176392245110944163839399659439535293,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.28176392245110944163839399659439535293,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.28176392245110944163839399659439535293.zarr,True,True,60242828
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.29394504594736036797747420525794983796,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.29394504594736036797747420525794983796,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.29394504594736036797747420525794983796.zarr,True,True,39713278
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.36575741184530379556865901754021617448,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.36575741184530379556865901754021617448,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.36575741184530379556865901754021617448.zarr,True,True,18406352
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.40276795343885792876679271332419202926,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.40276795343885792876679271332419202926,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.40276795343885792876679271332419202926.zarr,True,True,44856350
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.45505982741294694594566589551444886225,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.45505982741294694594566589551444886225,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606/1.2.826.0.1.3680043.8.498.45505982741294694594566589551444886225.zarr,True,True,51264156
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.10887922642378821953149095448791960311,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.10887922642378821953149095448791960311,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.10887922642378821953149095448791960311.zarr,True,True,10516320
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.17825809991194664057092474839495289855,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.17825809991194664057092474839495289855,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.17825809991194664057092474839495289855.zarr,True,True,14197724
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.28399217752101799876825340333611472859,v2,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.28399217752101799876825340333611472859,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.28399217752101799876825340333611472859.zarr,True,True,10516838
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732.zarr,True,True,10516838
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355.zarr,True,True,14197252
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513/1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096.zarr,True,True,12620226
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416.zarr,True,True,23510494
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350.zarr,True,True,13659718
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437.zarr,True,True,21327482
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584.zarr,True,True,21014790
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559/1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092.zarr,True,True,21540224
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073,v3,/workspace/data/raw/train_series/1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394/1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073,/workspace/data/zarr/1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394/1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073.zarr,True,True,15790396
