study_uid,series_uid,status,reason,n_files,modality,sop_class,rows,columns,pixel_spacing,orientation,n_missing_ipp,n_missing_iop,n_orientation_groups,n_pixel_spacing_groups,n_duplicate_positions,median_spacing_mm,min_spacing_mm,max_spacing_mm,max_spacing_deviation_pct,instance_min,instance_max
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.12689544351656485342798482846432921455,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,416,416,"0.43269200,0.43269200","0.98250800,0.18578600,-0.01272970,-0.02017950,0.03826320,-0.99906400",0,0,1,,0,2.999970,2.999475,3.000160,0.0165,1,38
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.26515132645256697953312631089055309042,VALID,,48,MR,1.2.840.10008.5.1.4.1.1.4,416,416,"0.43269200,0.43269200","0.98172000,0.19032900,-0.00015721,-0.18998800,0.98001500,0.05895550",0,0,1,,0,3.750027,3.749927,3.750047,0.0027,1,48
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.30827030879314217305902637111255984309,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,416,416,"0.43269200,0.43269200","0.98250600,0.18578800,-0.01279400,-0.02024270,0.03825130,-0.99906300",0,0,1,,0,2.999973,2.999941,3.000455,0.0160,1,38
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.33836648034724869721686434744559693623,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,416,416,"0.43269200,0.43269200","0.01299300,0.99916500,0.03872660,-0.02220360,0.03900870,-0.99899200",0,0,1,,0,2.999989,2.999987,3.000101,0.0037,1,38
1.2.826.0.1.3680043.8.498.10009278692606631573540062909909132231,1.2.826.0.1.3680043.8.498.93288538765996574291399549037773479273,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,416,416,"0.43269200,0.43269200","0.01299290,0.99916500,0.03872660,-0.02220370,0.03900860,-0.99899200",0,0,1,,0,2.999989,2.999987,3.000101,0.0037,1,38
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10407754553908392233077656347467111543,VALID,,16,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.96064557,0.27777706,0.00000000,0.13424815,-0.46427479,-0.87545780",0,0,1,,0,2.400000,2.399998,2.400001,0.0001,1,16
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10440591424169021316962862657887905795,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.25000000,0.25000000","0.98397626,0.17829952,0.00000001,-0.02077773,0.11466545,-0.99318685",0,0,1,,0,3.600000,3.599997,3.600002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10997243274493644695137773062377650204,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.98448830,0.17534076,0.00619806,-0.17536411,0.98449762,0.00344526",0,0,1,,0,3.900000,3.899997,3.900000,0.0001,1,30
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12035938794439579756583835150081778633,VALID,,29,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666666,0.41666666","0.11504520,0.99336026,0.00000000,0.04304267,-0.00498495,-0.99906080",0,0,1,,0,3.600000,3.599993,3.600008,0.0002,1,29
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12899608222010739549162228949977121036,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.98448830,0.17534076,0.00619806,-0.17536411,0.98449762,0.00344526",0,0,1,,0,3.900000,3.899997,3.900000,0.0001,1,30
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.18313433830014722992362938871973097711,VALID,,29,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.25000000,0.25000000","0.11504520,0.99336026,0.00000000,0.04304267,-0.00498495,-0.99906080",0,0,1,,0,3.600000,3.599993,3.600008,0.0002,1,29
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.74504704425600751221038968098633701528,VALID,,160,MR,1.2.840.10008.5.1.4.1.1.4,256,256,"0.62500000,0.62500000","0.96854780,0.24861874,0.01019204,-0.24868076,0.96575727,0.07396467",0,0,1,,0,0.600000,0.600000,0.600000,0.0000,1,160
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.76947689399889739752390906772011627242,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666666,0.41666666","0.98397626,0.17829952,0.00000001,-0.02077773,0.11466545,-0.99318685",0,0,1,,0,3.600000,3.599997,3.600002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.81917956022130221494316872143485515885,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666666,0.41666666","0.98397626,0.17829952,0.00000001,-0.02077773,0.11466545,-0.99318685",0,0,1,,0,3.600000,3.599997,3.600002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.95157380062318250808693914483306796699,VALID,,29,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666666,0.41666666","0.11504520,0.99336026,0.00000000,0.04304267,-0.00498495,-0.99906080",0,0,1,,0,3.600000,3.599993,3.600008,0.0002,1,29
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.11982164807463634778369544669639739403,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666700,0.41666700","0.99802700,0.00320634,-0.06270910,0.00000000,0.99869500,0.05106380",0,0,1,,0,3.299986,3.299887,3.300049,0.0030,1,40
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.17496901872433262274477070632489305322,VALID,,35,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666700,0.41666700","0.22076200,0.97532800,-0.00000001,-0.03244330,0.00734342,-0.99944700",0,0,1,,0,3.299976,3.299193,3.300392,0.0237,1,35
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.70243599053060014636616038265618938578,VALID,,35,MR,1.2.840.10008.5.1.4.1.1.4,320,320,"0.50000000,0.50000000","0.22076200,0.97532800,-0.00000001,-0.03244330,0.00734342,-0.99944700",0,0,1,,0,3.299976,3.299193,3.300392,0.0237,1,35
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.87738065849001552362672384225773846709,VALID,,38,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666700,0.41666700","0.98893200,-0.14235300,-0.04182800,-0.03455400,0.05319320,-0.99798600",0,0,1,,0,3.300006,3.299902,3.300150,0.0044,1,38
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.94462014065647174693220681811845777102,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666700,0.41666700","0.99802700,0.00320634,-0.06270910,0.00000000,0.99869500,0.05106380",0,0,1,,0,3.299986,3.299887,3.300049,0.0030,1,40
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.13316012614172613981502777804567639106,VALID,,41,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.29300000,0.29300000","0.27492000,0.95684000,0.09423000,0.03859000,0.08694000,-0.99547000",0,0,1,,0,2.200005,2.199998,2.200007,0.0003,1,41
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.23891625731161491661628238457017424651,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.27340000,0.27340000","0.99987000,0.00373000,0.01577000,-0.00550000,0.99349000,0.11377000",0,0,1,,0,4.499998,4.499994,4.500001,0.0001,1,30
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.67294291903707258636363422483846920874,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.27340000,0.27340000","0.99730000,0.07346000,0.00128000,-0.00452000,0.07875000,-0.99688000",0,0,1,,0,3.300001,3.299999,3.300005,0.0001,1,32
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.83614010998801212494242431788612349272,VALID,,41,MR,1.2.840.10008.5.1.4.1.1.4,1024,1024,"0.14650000,0.14650000","0.27492000,0.95684000,0.09423000,0.03859000,0.08694000,-0.99547000",0,0,1,,0,2.199998,2.199998,2.200005,0.0003,1,41
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.89117237872314402116920169434632625063,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.19530000,0.19530000","0.99524000,-0.00991000,0.09699000,-0.00504000,0.98826000,0.15267000",0,0,1,,0,2.199999,2.199998,2.200000,0.0001,1,22
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.96277058087102759370159028042426256271,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,1024,1024,"0.13670000,0.13670000","0.99730000,0.07346000,0.00128000,-0.00452000,0.07875000,-0.99688000",0,0,1,,0,3.300001,3.299994,3.300001,0.0002,1,32
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.11078374186526205724225825735159012398,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.31250000,0.31250000","0.99663651,0.07617809,0.03020935,0.02681294,0.04522065,-0.99861711",0,0,1,,0,4.400000,4.399998,4.400002,0.0000,1,22
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.42759405933119955877969739566391261556,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.25000000,0.25000000","-0.05813323,0.99830884,-0.00000070,0.00001198,-0.00000000,-1.00000000",0,0,1,,0,4.400000,4.399996,4.400004,0.0001,1,22
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.69783908410864161211158583420543900194,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,672,672,"0.23810000,0.23810000","-0.05813323,0.99830884,-0.00000070,0.00001198,-0.00000000,-1.00000000",0,0,1,,0,4.400000,4.399996,4.400004,0.0001,1,22
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.92080591929803140221312603969153072299,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.31250000,0.31250000","-0.05813323,0.99830884,-0.00000070,0.00001198,-0.00000000,-1.00000000",0,0,1,,0,4.400000,4.399996,4.400004,0.0001,1,22
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.94288268297326706009195326058014280624,VALID,,22,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.31250000,0.31250000","0.99999183,0.00014153,-0.00404543,0.00013986,0.99758393,0.06947183",0,0,1,,0,4.400000,4.399995,4.400003,0.0001,1,22
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,800,800,"0.22499999,0.22499999","0.99654505,0.01910614,-0.08082641,-0.08278514,0.15027807,-0.98517162",0,0,1,,0,3.300000,3.299994,3.300002,0.0002,1,40
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.28176392245110944163839399659439535293,VALID,,51,MR,1.2.840.10008.5.1.4.1.1.4,768,768,"0.23437500,0.23437500","0.99653353,0.01913475,-0.08096168,-0.00863167,0.99171836,0.12814130",0,0,1,,0,3.300000,3.299993,3.300004,0.0002,1,51
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.29394504594736036797747420525794983796,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,704,704,"0.25568181,0.25568181","0.99653353,0.01913475,-0.08096168,-0.08274313,0.12699828,-0.98844576",0,0,1,,0,3.300000,3.299996,3.300004,0.0001,1,40
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.36575741184530379556865901754021617448,VALID,,35,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.36585367,0.36585367","-0.00863167,0.99830740,0.05751381,-0.08274313,0.05660566,-0.99496200",0,0,1,,0,3.299998,3.299998,3.300014,0.0005,1,35
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.40276795343885792876679271332419202926,VALID,,35,MR,1.2.840.10008.5.1.4.1.1.4,800,800,"0.22499999,0.22499999","-0.00863167,0.99830740,0.05751381,-0.08274313,0.05660566,-0.99496200",0,0,1,,0,3.299998,3.299998,3.300014,0.0005,1,35
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.45505982741294694594566589551444886225,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,800,800,"0.22499999,0.22499999","0.99654505,0.01910614,-0.08082641,-0.08278514,0.15027807,-0.98517162",0,0,1,,0,3.300000,3.299994,3.300002,0.0002,1,40
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.10887922642378821953149095448791960311,VALID,,20,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.09320966,0.99501285,0.03551613,0.08758402,0.02733904,-0.99578191",0,0,1,,0,3.999882,3.999585,4.000874,0.0248,1,20
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.17825809991194664057092474839495289855,VALID,,27,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.99270423,0.07234954,0.09645650,0.08865589,0.10422004,-0.99059493",0,0,1,,0,4.000026,3.999322,4.000323,0.0176,1,27
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.28399217752101799876825340333611472859,VALID,,20,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.09320947,0.99501288,0.03551573,0.08758348,0.02733863,-0.99578197",0,0,1,,0,3.999882,3.999778,4.000874,0.0248,1,20
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732,VALID,,20,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.09320943,0.99501288,0.03551573,0.08758352,0.02733863,-0.99578197",0,0,1,,0,3.999882,3.999778,4.000874,0.0248,1,20
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355,VALID,,27,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.99270423,0.07234955,0.09645646,0.08865581,0.10422004,-0.99059494",0,0,1,,0,4.000026,3.999322,4.000323,0.0176,1,27
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096,VALID,,24,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.33200000,0.33200000","0.98308378,0.16559826,0.07825277,-0.17161344,0.98209910,0.07765431",0,0,1,,0,3.999977,3.999970,4.000166,0.0047,1,24
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,672,672,"0.26790000,0.26790000","-0.35869989,0.93345296,0.00000000,-0.00000000,-0.00000000,-1.00000000",0,0,1,,0,3.900000,3.899990,3.900007,0.0003,1,26
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.35160000,0.35160000","-0.35869989,0.93345296,0.00000000,-0.00000000,-0.00000000,-1.00000000",0,0,1,,0,3.900000,3.899990,3.900007,0.0003,1,26
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.28130000,0.28130000","-0.35869989,0.93345296,0.00000000,-0.00000000,-0.00000000,-1.00000000",0,0,1,,0,3.900000,3.899990,3.900007,0.0003,1,26
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584,VALID,,40,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.35160000,0.35160000","0.93540275,0.35265067,0.02567544,-0.35358226,0.93316340,0.06469629",0,0,1,,0,4.400000,4.399992,4.400007,0.0002,1,40
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092,VALID,,41,MR,1.2.840.10008.5.1.4.1.1.4,512,512,"0.37110000,0.37110000","0.92373055,0.38284004,0.01246510,-0.02254573,0.08682745,-0.99596822",0,0,1,,0,3.500001,3.499994,3.500004,0.0002,1,41
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,496,496,"0.34274200,0.34274200","0.11673400,0.99245500,-0.03749480,0.02882600,-0.04112280,-0.99873800",0,0,1,,0,3.299948,3.299921,3.300333,0.0117,1,32
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.12085504130809929729103897247086930468,VALID,,36,MR,1.2.840.10008.5.1.4.1.1.4,448,462,"0.35714300,0.35714300","0.99414900,-0.10397700,0.02926360,0.10484000,0.99404600,-0.02968270",0,0,1,,0,3.299970,3.299968,3.300073,0.0031,1,36
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.22350941940168581233659964138249514718,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,464,464,"0.36637900,0.36637900","0.11673400,0.99245500,-0.03749480,0.02882600,-0.04112280,-0.99873800",0,0,1,,0,3.299948,3.299921,3.300333,0.0117,1,32
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.36920113116383282710943538994927981876,VALID,,30,MR,1.2.840.10008.5.1.4.1.1.4,496,490,"0.32056500,0.32056500","0.99183800,-0.11194800,0.06102590,0.05755910,-0.03394550,-0.99776500",0,0,1,,0,3.299996,3.299948,3.300060,0.0019,1,30
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.10398122283136151623747293132260100759,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,320,320,"0.50000000,0.50000000","0.98046330,0.16980365,-0.09928967,-0.09358272,-0.04130885,-0.99475417",0,0,1,,0,3.300000,3.299999,3.300003,0.0001,1,32
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.10612361005926251456847561956635262722,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","-0.44492164,0.89546262,-0.01383589,-0.11409587,-0.07199979,-0.99085729",0,0,1,,0,2.999998,2.999995,3.000002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.61060692464231753798040762152369852425,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.39062500,0.39062500","-0.44492163,0.89546263,-0.01383590,-0.11409558,-0.07199965,-0.99085733",0,0,1,,0,3.000002,2.999994,3.000003,0.0003,1,32
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.77941154390263872263584692780262100897,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,384,384,"0.41666666,0.41666666","0.98046330,0.16980365,-0.09928967,-0.09358272,-0.04130885,-0.99475417",0,0,1,,0,3.300000,3.299999,3.300003,0.0001,1,32
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.87400072663116536448673623612489172444,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","-0.44492164,0.89546262,-0.01383589,-0.11409587,-0.07199979,-0.99085729",0,0,1,,0,2.999998,2.999995,3.000002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.93204062869632903043115397277688722632,VALID,,32,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.97878098,0.17879218,-0.10010571,-0.18388121,0.98195956,-0.04408082",0,0,1,,0,4.550000,4.549998,4.550002,0.0001,1,32
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.10138400860303228304047985771421435784,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.98964658,0.13520566,0.04815689,-0.13556477,0.99075935,0.00425568",0,0,1,,0,3.900000,3.899999,3.900003,0.0001,1,26
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.11788164428905677775308855476550714595,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,320,320,"0.50000000,0.50000000","0.18734074,0.98229499,0.00000000,-0.00063792,0.00012166,-0.99999979",0,0,1,,0,3.600001,3.599994,3.600001,0.0002,1,26
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12061584096631077508632129628209972719,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.98964658,0.13520566,0.04815689,-0.13556477,0.99075935,0.00425568",0,0,1,,0,3.900000,3.899999,3.900003,0.0001,1,26
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12283902861056341541201338138068066294,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.25000000,0.25000000","0.18734074,0.98229499,0.00000000,-0.00063792,0.00012166,-0.99999979",0,0,1,,0,3.600001,3.599994,3.600001,0.0002,1,26
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12595857485273978815469036481976397270,VALID,,26,MR,1.2.840.10008.5.1.4.1.1.4,320,320,"0.50000000,0.50000000","0.18734074,0.98229499,0.00000000,-0.00063792,0.00012166,-0.99999979",0,0,1,,0,3.600001,3.599994,3.600001,0.0002,1,26
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.40067587795096624398858253836281924077,VALID,,16,MR,1.2.840.10008.5.1.4.1.1.4,640,640,"0.23437500,0.23437500","0.99950975,0.03130907,-0.00000003,0.01593121,-0.50858817,-0.86086251",0,0,1,,0,2.400000,2.399999,2.400001,0.0001,1,16
